CardNo,Food&Grocery,DepartmentStores,Travelservice,Transportation,Food&Grocery_F,DepartmentStores_F,Travelservice_F,Transportation_F
36,683018,77278,430122,461592,31,42,49,23
66,442893,107877,155591,462895,29,28,50,34
13,498225,305818,258809,158097,39,3,40,4
13,904833,355949,153383,69084,11,14,7,40
29,277480,54576,319086,14343,16,44,36,13
18,731572,26624,452895,194947,31,20,39,26
81,128313,45463,1560,222019,39,39,23,20
14,685243,234457,303620,248478,33,49,16,46
39,897024,229481,235641,89046,27,5,26,23
66,168208,70082,256162,286976,36,12,50,46
62,988735,306391,386771,29786,19,16,49,10
27,35533,381318,326577,82193,23,35,31,0
86,982043,469679,364781,327808,50,31,37,20
36,324986,466631,301586,160726,29,23,47,18
70,576961,429773,322946,72192,48,18,32,8
13,329107,120107,198194,106457,40,45,14,7
26,436900,174115,362111,266885,6,43,0,34
99,544237,15573,250628,232716,5,27,27,40
33,500751,300759,248589,47348,33,42,10,39
44,340534,355758,151351,169273,22,48,30,45
60,45915,417896,101913,272743,25,16,45,27
48,877796,364983,465389,358600,34,37,2,26
18,889384,160486,235318,3313,41,48,43,34
59,657839,28379,457871,69642,16,23,33,16
10,599151,407917,21880,100233,2,50,50,46
43,859290,192378,383440,351465,17,24,37,22
38,945611,434335,379792,172747,40,38,41,50
65,89723,338347,138191,406825,46,27,46,4
22,310793,322479,295608,439398,38,3,23,23
68,648488,129718,445502,343504,6,33,43,17
56,666942,179224,442358,305765,16,45,47,18
34,697172,451542,257387,92929,48,17,19,24
30,574846,108637,365226,200641,39,21,1,4
78,650240,106642,193909,288297,50,1,21,0
92,492376,198550,249391,260773,42,1,25,44
26,532955,483935,201140,392729,19,20,16,26
80,345986,327147,308399,436992,17,48,30,45
37,305339,259092,89971,319441,48,40,22,9
83,639506,84788,326034,82311,26,19,36,12
64,157916,45703,75693,405875,12,15,37,14
9,457900,166596,96504,216678,35,42,24,11
83,376552,164188,294142,490300,33,1,19,30
30,186974,426841,66336,279766,5,31,48,1
49,519518,496607,141978,98588,9,12,17,28
45,997014,295688,23886,439464,21,25,8,5
5,710335,416627,114325,119392,0,25,14,9
25,528510,161874,478791,21342,45,33,7,19
37,825976,326600,475809,324409,46,39,23,32
82,436518,285620,451896,35944,42,14,23,18
15,143199,456899,54728,56248,41,0,1,17
44,677349,59707,166821,473779,31,31,32,2
5,628423,228445,343428,246751,47,37,9,35
78,603690,413139,15787,200483,36,14,30,20
37,941436,97266,390297,163523,9,39,22,20
42,33615,101718,215985,50008,34,43,29,32
63,433873,472596,94664,189756,19,2,37,47
10,702964,249035,87590,285453,44,20,12,4
20,913875,367714,450124,182746,33,21,29,9
9,642283,55806,62504,374381,48,14,28,27
87,813390,128658,204568,198353,41,44,25,36
26,547864,46781,73701,227191,28,2,14,31
46,119585,120948,317103,413279,36,14,13,6
74,665617,354116,211163,337988,43,47,46,24
58,142678,2468,438646,483433,32,2,22,12
11,866806,71441,52220,382332,20,14,30,48
7,905904,293110,440683,286910,5,46,8,16
98,771559,451014,354731,195307,34,47,7,37
82,816453,373165,476672,463710,50,11,29,44
17,40964,150119,321932,427111,43,20,41,41
56,856883,314925,214726,463931,26,45,43,3
23,398264,175273,21743,247568,3,30,0,6
76,13266,220554,205529,292106,50,4,45,5
77,906800,381962,142393,11812,30,25,38,46
96,108268,406855,393301,10676,34,36,21,42
94,395100,192424,344825,268145,32,27,11,25
9,854090,129703,282673,71369,35,28,30,29
69,311507,118067,292674,167684,27,26,3,36
50,392303,371169,303647,43160,27,29,22,44
13,361638,60944,397690,450746,43,1,24,49
42,95795,446843,478522,421189,25,13,23,19
61,946565,9668,65128,34436,32,23,0,42
97,114140,13886,167608,436813,46,21,26,33
53,108760,499242,295537,302282,21,44,1,1
39,329777,38549,228455,157185,45,20,5,25
35,602725,126546,439915,312902,36,25,23,32
52,731400,490185,460498,308263,49,1,12,0
72,49765,379308,390758,59062,30,48,44,22
60,16314,174588,263102,80954,50,21,22,12
51,389201,366891,456047,449452,30,22,6,22
5,709339,168140,119682,471699,24,23,39,22
83,994409,127500,423728,377292,43,3,38,28
31,576878,113916,139171,259698,36,42,17,0
88,640470,114677,205364,426452,22,22,6,38
57,356370,47553,64063,459536,25,32,23,6
29,765092,143027,406879,236857,9,9,34,8
80,189414,423021,462374,194034,48,48,8,32
63,196019,351109,427123,166343,34,43,4,10
7,908114,353147,400218,474971,15,50,7,45
35,281968,40585,329357,200993,17,31,37,47
49,885779,396124,78799,433192,4,33,42,34
15,481550,192804,372743,455864,14,11,18,15
1,322903,144543,371111,312442,0,41,27,10
28,272502,484961,469271,393664,24,39,47,48
63,35813,177734,11623,498100,47,32,20,24
21,344523,111139,442844,461454,3,23,44,22
35,377657,149234,49116,341103,15,26,8,4
19,551076,112493,190857,291350,25,17,29,37
23,319162,309599,436136,414724,47,26,33,50
82,902655,384514,71763,337099,37,45,29,44
28,810216,29109,486482,96127,34,19,44,20
88,885523,26968,84856,176431,44,17,10,46
77,833806,436331,17794,242583,49,16,4,23
15,750816,148304,448595,121641,31,35,14,10
6,442766,436164,13448,362994,19,48,29,24
2,819996,115795,181982,365447,17,46,47,27
10,69341,306806,485422,206475,5,39,35,21
77,740025,235883,418125,84019,4,22,5,36
13,440677,498622,116903,370852,41,45,19,14
74,457377,456267,231551,107292,29,25,9,44
10,83453,1894,374575,403236,14,15,29,21
31,191570,348304,300096,401945,3,27,44,45
55,112035,305019,340734,332651,0,49,11,30
42,119474,371246,190195,343721,41,31,6,10
23,361548,3163,454823,59740,7,3,41,42
55,840020,450149,400856,52221,33,12,15,1
36,935438,20628,422988,81938,25,45,49,33
47,999537,248785,109020,337566,24,46,12,29
79,512450,291885,448812,463381,11,33,19,20
22,10737,164481,167727,49180,3,7,33,37
31,817014,478189,424505,459039,19,13,2,46
61,399158,61007,41674,2663,39,46,30,28
64,157092,133050,260946,471889,48,1,24,36
35,530747,330998,253326,191655,14,41,17,32
19,922455,433005,408839,392800,29,30,28,23
17,900434,103985,420465,113713,31,45,34,47
83,102547,55008,58936,435664,16,37,15,2
56,646134,298188,214567,268458,22,23,16,18
5,805712,161260,304095,308180,7,30,31,9
81,864263,332420,63030,434198,20,29,24,33
67,160287,281949,192611,432622,20,23,26,28
26,774903,442684,169263,227505,20,43,33,5
73,963340,209804,413762,64627,19,26,6,19
13,966992,280581,78021,175927,38,19,26,30
17,765464,13664,91129,423151,44,36,32,43
38,261071,346958,471965,134534,46,27,37,22
44,381876,375655,145612,95578,4,1,5,13
47,90126,444289,434792,94925,34,35,32,33
39,883061,474834,452072,280856,29,5,49,22
78,413980,20175,350098,333773,10,43,5,38
8,115409,404141,395492,275316,31,37,13,46
40,761623,147627,349367,435092,26,30,3,6
44,547163,74543,223903,143580,11,50,21,19
26,16189,16181,461489,74990,15,8,2,39
20,431436,445845,156045,286045,2,31,38,5
34,512319,332638,416748,353450,36,45,14,43
61,771140,325860,86893,158563,33,22,10,3
88,164009,287545,494966,489023,41,23,12,38
18,595374,4432,319417,395217,5,17,48,21
99,957353,390423,88072,398774,50,1,29,21
15,489436,374929,356824,465622,1,22,12,33
66,766633,114997,237066,177160,27,6,49,25
60,927522,439954,307465,81008,24,26,23,37
12,139946,97874,150239,68987,30,8,44,18
71,645739,79450,470690,172894,3,32,36,1
12,272970,467781,469693,328737,17,38,11,21
33,361044,65335,93241,362271,15,41,24,8
78,683733,435683,315328,441995,40,7,33,46
46,527659,57326,464062,130942,44,19,2,6
20,219749,182093,146151,195773,16,8,41,18
70,355470,487602,373262,498383,50,7,37,10
88,589832,40328,367441,359450,22,29,45,40
61,964636,497838,115921,2906,18,17,19,36
55,54,392253,16101,433739,6,34,11,20
5,677483,99688,111540,424130,39,24,0,11
41,86189,285428,45581,143442,11,20,27,6
22,53669,289952,218488,460934,4,18,35,2
67,838446,212122,233742,263270,9,16,20,45
87,249215,23793,403385,375075,38,3,16,34
87,789201,496116,462756,342229,31,34,36,29
51,656552,175156,226956,312237,35,34,49,43
36,326912,243008,487949,119132,41,35,27,3
64,983995,342813,99664,139824,1,23,50,12
78,571470,74058,373685,32855,43,50,2,18
84,22631,175693,357005,471911,41,7,30,7
95,25372,78440,338080,429735,14,26,43,13
29,280482,132699,390520,247207,7,31,12,23
20,944550,350271,6362,255858,14,6,34,50
11,532748,483157,26603,454039,13,11,14,27
63,561059,86128,224843,413217,1,8,31,48
66,628359,125475,71441,158555,29,28,20,46
99,461842,288044,466126,220279,11,44,0,20
100,732828,317095,382829,447619,23,32,20,36
